Fz,Cz,Pz,C3,T3,C4,T4,Fp1,Fp2,F3,F4,F7,F8,P3,P4,T5,T6,O1,O2,Class
-125,-266,-131,-266,236,163,200,126,126,89,163,-57,200,52,89,126,-90,226,332,c
85,-19,126,15,420,384,384,310,273,347,236,89,273,163,126,310,15,367,367,c
-19,-195,-57,-90,273,200,273,126,200,200,52,-94,126,-20,-57,126,-19,191,261,c
121,15,89,121,384,347,310,236,273,236,236,126,236,200,163,310,191,402,402,c
156,121,89,156,347,310,347,236,200,273,89,52,200,89,126,200,-19,297,226,c
50,15,-57,-55,200,89,163,52,126,163,89,16,163,52,163,163,15,226,226,c
226,226,52,121,236,236,200,200,310,384,200,126,273,236,273,310,-19,297,226,c
15,-19,-167,-125,-20,-57,16,16,200,200,-20,-131,89,-20,16,52,-195,15,50,c
85,50,-131,-90,16,-20,16,89,273,347,89,89,126,200,163,236,-19,156,261,c
191,261,-94,15,16,52,89,236,273,384,-94,52,16,200,52,163,-160,50,121,c
15,85,-241,-125,-131,-57,-57,126,126,52,-131,-20,-20,126,16,16,-55,15,191,c
156,226,16,191,126,236,163,384,236,200,89,200,163,347,236,200,156,261,367,c
85,50,16,85,126,163,200,273,126,52,-20,16,126,52,52,-20,121,121,226,c
156,156,163,226,273,236,200,347,163,89,200,236,273,236,200,126,402,261,367,c
261,332,273,402,347,457,236,457,200,200,200,236,347,310,200,163,297,226,226,c
85,85,89,226,126,236,89,236,16,-20,89,89,310,200,163,16,261,85,121,c
156,226,236,402,347,457,200,420,200,200,273,347,457,494,420,347,367,332,297,c
50,85,163,191,310,347,236,347,163,236,89,126,347,273,236,236,156,156,121,c
15,-19,163,121,310,236,200,273,163,200,163,200,384,420,347,347,332,261,226,c
156,156,236,261,384,384,310,347,236,273,200,236,420,494,384,384,191,261,85,c
-19,-90,-20,-19,126,89,126,16,89,89,16,52,273,236,200,126,85,85,-160,c
85,121,89,191,236,236,89,126,200,310,236,273,347,457,384,384,226,226,-90,c
50,156,89,156,89,163,52,16,89,236,89,163,236,310,163,236,15,50,-336,c
15,15,52,15,-94,-20,-131,-131,-57,-20,163,163,200,273,200,163,85,15,-266,c
156,191,200,121,16,89,-57,52,16,163,236,273,236,384,236,273,50,50,-160,c
-19,-19,-57,-125,-167,-131,-94,-94,-94,89,-20,52,89,163,52,52,-125,-90,-195,c
15,85,16,50,-20,52,-57,126,-20,163,163,273,236,384,273,236,15,156,50,c
15,121,52,121,-20,89,16,273,16,200,89,126,236,236,163,126,-90,85,-19,c
-55,-55,-57,-19,-94,-94,-94,126,16,52,89,16,163,126,163,89,50,15,85,c
121,156,126,226,126,126,89,310,200,310,200,163,273,310,347,310,156,191,226,c
-19,-19,-20,85,16,16,126,163,89,163,16,-57,200,16,200,52,15,85,121,c
15,-19,52,85,126,89,163,236,163,236,163,89,310,200,420,200,121,297,297,c
15,15,52,121,200,200,236,347,126,273,52,52,236,163,310,236,-90,261,156,c
-195,-195,-131,-90,16,16,126,126,16,16,-94,-57,126,89,236,126,-55,156,156,c
-55,156,52,191,200,273,273,310,200,236,126,126,273,347,457,347,85,332,297,c
-19,85,-20,50,126,126,236,163,126,126,-20,-57,163,89,236,126,-55,156,156,c
85,50,-20,50,89,126,200,163,126,126,163,52,163,236,347,236,121,261,297,c
191,156,89,191,163,273,273,310,126,273,126,89,163,310,273,310,-19,226,156,c
15,-55,-94,-55,-57,52,52,52,-57,52,16,-20,52,126,89,89,-90,-19,50,c
121,85,89,156,16,163,16,163,52,236,273,200,163,310,273,273,50,121,121,c
15,15,16,85,-94,52,-57,16,16,163,52,52,52,126,52,52,-90,-125,-125,c
-19,15,-20,85,-131,-57,-204,-94,-20,89,163,200,52,236,126,89,50,-160,-90,c
191,332,126,297,-57,89,-167,16,-20,163,200,310,52,310,89,163,15,-125,-160,c
50,121,-57,50,-241,-94,-278,-167,-167,-94,-20,89,-131,52,-94,-57,-90,-231,-231,c
156,191,89,191,-94,89,-167,16,-94,52,200,273,-20,236,126,126,85,50,15,c
156,156,52,156,-57,126,-20,89,-94,89,16,126,-57,89,-20,16,-90,15,-19,c
50,-55,-20,15,-57,89,-20,89,16,16,52,126,-57,126,52,16,85,121,191,c
226,191,200,297,236,384,310,420,310,347,200,273,126,347,236,310,156,367,367,c
50,15,126,85,200,236,347,347,273,200,52,52,89,126,126,163,85,226,261,c
121,121,273,191,347,347,384,457,347,273,273,200,273,347,347,420,226,437,437,c
121,191,273,226,384,384,420,494,347,384,163,89,236,273,200,384,15,367,261,c
15,85,89,15,273,200,273,310,236,236,89,52,163,200,200,310,15,297,261,c
226,367,310,261,457,384,384,494,310,384,236,273,273,420,347,457,156,437,332,c
121,191,236,156,310,236,273,310,163,163,52,89,163,163,52,200,15,156,121,c
156,191,310,191,273,236,163,310,200,236,236,273,236,310,163,347,226,191,226,c
261,332,384,332,273,347,163,384,236,384,200,273,200,236,89,384,191,85,15,c
121,191,200,226,16,126,-94,126,89,163,52,200,89,89,16,163,191,-55,-90,c
261,437,347,508,89,310,-20,236,200,310,273,494,200,347,163,310,261,121,15,c
191,332,200,261,-20,126,-57,52,126,273,126,310,126,126,-20,126,15,-55,-160,c
156,261,163,156,-20,16,-94,-20,126,236,310,384,236,163,89,163,191,50,-55,c
297,473,347,367,126,163,52,89,126,236,347,420,310,163,89,89,191,191,-90,c
156,297,200,191,52,-20,16,-131,-94,-94,163,273,200,-57,-20,-131,191,156,-90,c
261,402,384,402,310,273,200,126,52,89,384,420,347,236,200,126,402,473,226,c
226,297,347,332,384,310,420,200,89,89,236,200,310,89,89,-20,261,402,226,c
191,191,310,226,420,310,494,200,126,52,310,236,310,163,200,16,402,508,437,c
367,402,531,437,604,568,678,494,310,273,347,384,347,310,236,200,367,649,508,c
121,156,310,191,384,384,568,347,200,163,126,163,163,89,52,52,226,437,402,c
156,226,347,332,420,494,531,494,273,273,310,347,236,347,236,310,402,613,578,c
191,297,310,402,420,494,568,531,236,273,200,236,200,236,89,200,297,508,437,c
156,156,236,297,310,347,457,347,163,126,236,236,200,236,89,163,402,437,508,c
367,332,457,578,457,531,568,531,310,384,420,457,273,420,200,347,437,543,473,c
191,261,236,367,236,310,347,273,126,163,200,273,163,200,16,126,156,261,156,c
226,402,236,367,163,310,163,273,200,236,347,420,236,384,200,310,226,332,191,c
332,543,273,332,126,236,163,236,273,347,236,310,200,236,126,273,85,156,-19,c
261,297,126,85,16,-57,-20,-94,200,126,200,163,163,52,89,89,191,-55,-90,c
402,437,310,332,163,89,16,16,273,273,384,347,273,236,200,273,332,15,-125,c
226,226,163,191,-57,-94,-167,-204,52,126,126,126,126,16,-94,52,121,-266,-371,c
226,191,163,191,-20,-94,-241,-241,16,-20,236,273,126,163,16,126,226,-160,-195,c
297,367,273,226,89,52,-94,-57,52,16,163,236,126,163,-20,89,121,-90,-160,c
85,121,126,15,16,-20,-131,-131,-57,-131,16,89,16,16,-94,-94,156,-90,-55,c
226,332,347,261,273,310,126,200,89,126,236,310,200,273,126,163,332,261,261,c
121,226,236,191,273,310,273,273,52,126,52,89,163,89,52,-20,156,226,226,c
50,85,200,121,310,310,347,273,89,89,163,126,236,163,236,126,297,367,437,c
191,226,347,297,494,494,494,494,163,273,200,163,273,273,273,273,261,437,437,c
50,50,126,85,310,273,384,273,89,126,16,-20,163,52,126,89,191,261,367,c
226,261,200,297,420,420,420,384,200,163,236,236,273,273,347,273,402,473,473,c
226,261,163,367,347,384,384,310,52,126,89,89,200,89,163,126,226,332,226,c
85,156,89,332,200,236,163,163,-20,89,163,89,163,126,200,200,367,297,226,c
226,437,310,508,273,384,236,347,126,310,273,273,200,310,273,384,367,367,226,c
121,191,126,226,89,126,163,126,89,163,52,89,89,89,126,200,156,121,50,c
191,191,163,261,89,126,126,163,163,273,200,273,126,310,273,347,261,226,85,c
261,261,89,191,-20,52,52,52,52,200,89,126,52,163,89,163,15,15,-231,c
121,156,-57,-55,-204,-167,-204,-204,-131,16,89,16,-20,89,52,52,15,-160,-301,c
226,367,89,85,-131,-20,-204,-57,52,310,200,126,52,236,163,273,-19,-90,-266,c
15,85,-167,-195,-351,-241,-388,-204,16,163,-20,-131,-94,-20,-57,52,-266,-336,-407,c
-19,15,-131,-160,-278,-204,-425,-167,89,163,126,52,-20,89,126,163,-90,-195,-231,c
15,85,-20,-19,-94,-94,-204,-94,163,236,52,52,16,-20,52,89,-160,-125,-195,c
-125,-125,-131,-195,-57,-204,-131,-167,163,89,-57,-57,-20,-131,16,-20,-90,-19,15,c
50,156,89,15,236,126,200,163,347,200,163,163,200,163,236,163,50,367,402,c
15,15,16,-55,273,126,384,163,273,163,52,-57,200,-57,126,-20,-55,332,402,c
85,-19,52,15,384,200,494,236,310,163,236,126,273,89,310,89,156,508,649,c
191,191,163,191,457,420,568,420,310,236,200,163,273,163,310,126,-19,613,543,c
-55,15,-94,-19,236,236,384,236,163,16,-20,-57,126,16,126,-20,-125,437,473,c
50,156,16,121,384,420,457,384,347,273,126,163,236,273,310,236,-19,613,613,c
-19,85,-20,50,347,347,494,347,347,310,-20,16,126,89,126,126,-160,437,473,c
-19,50,16,50,310,273,384,310,310,273,126,89,163,163,200,200,15,402,508,c
85,226,236,261,384,420,420,457,384,457,200,163,200,273,236,384,50,402,402,c
-19,15,52,50,126,163,163,200,163,200,-20,-20,16,52,16,236,-19,85,156,c
85,156,163,226,126,236,52,273,200,236,163,236,89,273,163,384,156,85,226,c
85,156,89,121,52,126,-57,163,89,163,-20,126,16,126,16,163,-55,-231,-55,c
-19,-19,-57,-90,-94,-57,-315,-20,16,-57,-20,126,-20,126,89,126,15,-371,-90,c
156,191,126,156,-20,163,-278,126,89,89,126,273,16,310,163,310,85,-301,-160,c
15,-19,-57,15,-204,-57,-425,-94,-94,-131,-57,52,-94,89,-57,89,15,-547,-336,c
50,15,16,50,-167,-20,-388,-20,-20,-57,126,126,16,200,163,236,121,-336,-90,c
50,15,-20,-55,-94,52,-204,89,52,89,-94,16,-57,89,89,163,-90,-231,-90,c
-125,-231,-278,-301,-204,-94,-167,16,16,16,-241,-94,-131,-57,52,89,-125,-160,50,c
15,15,-131,-55,16,163,52,273,236,310,-94,52,-20,163,236,310,-19,121,297,c
-90,-90,-204,-231,-57,16,126,163,200,163,-278,-131,-131,-20,52,89,-90,-55,191,c
-55,-125,-94,-90,16,52,126,236,236,163,-131,52,-57,163,163,200,156,121,367,c
15,15,52,156,163,273,273,384,273,273,-131,89,-57,200,89,236,85,226,332,c
-90,-125,-94,-19,52,126,200,200,163,52,-204,16,-94,52,16,16,85,156,332,c
85,156,163,226,310,310,347,347,273,126,89,273,89,347,200,163,226,367,437,c
50,50,200,191,273,163,347,163,163,-20,-20,126,16,126,52,-57,85,191,191,c
85,50,273,226,273,89,236,89,89,-20,200,273,126,200,200,52,297,261,261,c
261,297,457,437,420,236,310,200,126,200,310,310,236,236,200,126,261,297,156,c
85,85,236,191,200,-57,126,-20,-20,-20,163,126,163,16,89,-20,191,85,-19,c
191,261,347,332,310,126,126,126,126,52,310,310,273,236,273,163,332,261,50,c
226,297,236,261,236,126,126,52,52,16,126,200,126,89,16,-20,156,50,-195,c
226,191,163,226,163,89,-20,-94,-57,-57,200,310,89,126,52,-20,297,-19,-195,c
332,402,347,402,200,236,16,52,-20,16,236,420,126,236,89,89,261,-19,-266,c
156,156,126,121,-57,-57,-167,-204,-167,-167,52,126,-20,-20,-131,-131,85,-266,-371,c
226,191,236,156,16,-20,-167,-94,-20,16,273,273,89,163,16,89,226,-55,-90,c
226,191,200,121,16,16,-167,-57,16,52,126,89,16,-20,-131,-20,50,121,-125,c
50,-19,52,-55,-57,-131,-388,-94,-20,-94,89,16,-20,-94,-94,16,85,226,50,c
191,191,200,156,126,163,-20,200,163,273,200,126,126,126,89,310,85,226,226,c
50,15,52,-55,16,16,273,89,163,200,16,-94,52,-20,-20,89,-19,-19,156,c
85,15,126,-19,89,89,273,163,236,163,236,89,200,163,200,273,156,226,297,c
85,85,163,-19,126,126,236,236,236,273,163,52,163,126,126,236,-90,191,156,c
-90,-125,-94,-231,-57,-94,126,16,200,200,16,-20,52,-20,52,89,-125,50,191,c
85,121,89,15,163,89,347,163,457,494,200,163,200,200,236,310,-19,332,367,c
-19,-19,16,-55,89,-20,347,52,310,200,-20,-20,126,-57,52,89,-160,226,156,c
-55,-55,52,-19,163,-20,310,52,273,163,163,89,200,89,200,236,50,332,297,c
50,15,163,85,236,126,384,163,347,384,163,52,200,163,200,310,-19,261,156,c
-90,-160,16,-125,52,-94,200,-57,163,126,16,-94,89,52,89,126,-55,50,15,c
50,156,163,121,236,89,236,126,200,236,200,126,163,310,273,310,121,191,50,c
50,50,89,50,126,16,163,16,89,163,16,-20,52,52,52,126,50,-55,-160,c
191,15,89,85,89,-20,16,-20,52,126,236,89,52,89,126,126,261,-19,-19,c
437,297,310,297,236,236,126,200,89,200,310,200,126,200,163,200,226,85,-19,c
191,156,126,85,52,52,16,52,-20,-20,89,52,16,-20,16,-20,121,-90,-90,c
191,297,236,226,163,236,89,236,89,163,236,310,126,236,236,236,261,85,85,c
121,226,126,226,126,236,126,273,126,163,52,200,52,89,89,126,50,50,15,c
-19,-55,16,85,89,163,126,200,163,126,126,163,89,126,236,163,121,121,191,c
121,121,163,261,236,347,310,420,310,347,200,236,200,310,310,347,121,297,261,c
-19,15,-20,121,52,126,236,200,89,89,-20,52,52,89,52,89,-19,121,121,c
156,226,126,261,163,200,310,273,163,163,273,273,200,273,236,236,226,402,367,c
191,367,236,297,273,310,457,310,200,273,200,200,236,163,163,163,156,402,332,c
85,156,163,156,236,200,420,200,163,89,200,126,200,126,163,89,261,402,437,c
261,297,347,332,384,384,494,420,347,200,347,236,310,347,347,273,297,473,473,c
156,85,163,85,163,89,310,163,273,89,89,16,163,89,126,52,85,191,191,c
191,121,236,121,200,52,200,163,273,236,273,200,200,236,236,236,297,226,226,c
226,261,347,226,236,163,163,236,310,420,200,200,163,200,126,273,191,85,15,c
85,85,163,50,16,-20,-20,16,200,163,126,89,89,89,89,89,226,-90,-55,c
297,332,347,332,200,200,52,163,310,273,384,384,236,347,310,236,367,15,50,c
226,191,236,191,89,89,52,52,163,89,200,163,163,126,89,16,191,-195,-90,c
226,191,236,156,89,126,-20,89,89,-20,310,310,163,236,200,89,332,-55,85,c
332,332,310,437,163,347,89,236,52,89,310,347,126,310,126,89,226,85,50,c
156,50,126,261,16,200,16,52,-131,-94,200,200,52,126,16,-94,191,15,50,c
297,226,273,402,200,384,200,236,52,89,384,347,200,347,236,163,297,261,332,c
261,297,126,261,163,310,310,200,52,-20,163,200,126,163,52,16,50,191,226,c
191,191,52,191,200,236,273,163,52,-20,200,273,163,236,163,52,226,332,367,c
332,297,310,508,457,420,494,347,236,273,310,384,310,347,236,200,297,473,402,c
191,50,200,332,347,200,420,126,126,126,200,163,236,52,89,16,297,332,297,c
332,297,420,543,531,347,457,273,273,236,457,347,347,310,347,273,508,508,473,c
332,367,420,543,531,384,494,347,236,236,310,236,310,200,236,200,332,367,332,c
226,156,310,332,420,310,347,236,163,126,310,200,273,200,273,163,402,332,332,c
332,297,384,508,494,494,384,457,273,310,384,347,310,384,310,384,332,367,297,c
156,121,126,261,236,273,236,273,89,126,126,163,163,163,126,163,156,121,121,c
226,191,163,297,236,310,200,273,89,236,273,420,200,420,310,347,261,261,297,c
261,297,163,332,163,310,200,273,126,273,126,347,89,310,200,236,50,121,121,c
121,121,-57,85,-57,52,16,-20,52,126,52,200,16,126,126,89,85,15,85,c
261,332,126,297,89,200,126,126,236,310,236,347,163,273,310,273,191,191,156,c
191,156,16,121,-20,16,52,-57,52,89,16,126,52,16,52,16,50,50,-55,c
226,226,52,191,52,16,52,-20,16,89,200,236,126,126,236,126,226,191,121,c
297,437,163,261,163,126,200,89,16,163,163,200,126,89,200,89,85,226,121,c
156,226,-57,-19,16,-131,89,-94,-94,-20,52,52,16,-57,89,-57,15,85,85,c
261,367,52,156,163,52,126,126,126,273,200,273,89,200,273,236,121,226,226,c
191,191,-20,85,52,-20,89,52,126,310,16,89,-20,16,52,52,15,15,85,c
226,226,16,121,52,-20,52,16,163,200,163,236,16,126,163,89,261,85,226,c
402,508,200,367,126,200,126,163,200,273,200,273,52,200,126,200,191,156,226,c
226,261,16,85,-20,16,16,16,52,163,16,89,-57,52,16,89,85,-19,191,c
332,261,126,191,89,200,89,200,200,310,200,310,89,310,273,347,226,191,332,c
226,156,89,156,16,200,89,163,126,236,-20,126,-20,126,89,163,50,50,121,c
121,85,16,121,-20,200,16,126,16,52,16,163,-20,126,126,126,191,121,226,c
191,261,200,332,163,420,200,347,126,273,89,200,89,236,236,310,191,261,226,c
-125,-125,16,15,52,200,126,163,89,236,-94,-131,52,-20,89,200,15,85,121,c
-55,-19,126,50,200,200,163,236,200,384,126,89,200,200,273,384,191,226,261,c
-19,50,163,15,236,163,200,163,89,273,-20,16,163,89,126,163,-19,50,50,c
-160,-160,16,-195,89,-57,52,-57,-20,-57,-57,-20,89,52,126,52,15,-55,85,c
-19,50,126,-19,200,89,126,126,89,16,52,163,163,236,200,200,50,15,121,c
-125,-195,-94,-231,16,-94,16,-20,-20,-131,-131,-57,16,-57,-20,-20,-55,-160,-19,c
-19,-195,16,-55,89,-20,52,16,89,-20,126,52,89,126,126,126,261,-19,156,c
121,-55,163,156,163,89,163,89,200,89,89,52,89,89,52,89,226,-90,85,c
-19,-195,52,-19,16,-131,16,-131,89,-131,16,-57,16,-20,16,-57,261,-160,156,c
121,15,273,191,200,126,163,163,200,52,200,126,163,236,200,126,332,85,332,c
-19,-125,126,-19,52,52,126,89,126,16,16,-131,52,-20,-20,-94,85,-90,156,c
-90,-125,89,-55,16,89,52,126,273,52,126,16,126,89,126,16,156,50,297,c
15,15,163,50,89,200,163,236,384,200,89,89,126,89,126,52,-19,85,226,c
-160,-231,-94,-160,-94,-57,52,-20,273,89,-57,-20,16,-57,52,-94,-125,15,121,c
-55,15,-20,15,89,163,163,126,457,310,126,200,126,200,273,126,-55,261,191,c
-160,-55,-167,-125,16,52,163,16,457,310,-131,-57,-20,-20,89,16,-266,156,85,c
-160,-90,-167,-231,52,-20,200,16,494,273,-20,-20,16,16,200,16,-55,297,297,c
50,156,52,15,310,200,420,236,531,420,52,52,126,126,236,52,-19,402,332,c
-55,-55,-57,-160,200,52,347,52,347,163,-20,-131,89,-57,89,-94,-19,261,226,c
85,121,200,15,384,200,420,163,384,236,273,163,273,200,310,200,226,437,367,c
85,156,200,15,347,163,384,126,236,89,163,52,273,52,163,16,15,297,156,c
15,15,89,-90,200,16,200,-20,89,-94,236,126,273,52,236,16,85,261,191,c
191,226,273,156,310,273,310,200,200,163,347,273,347,200,310,200,121,367,191,c
121,85,89,-55,163,89,236,-20,126,16,126,16,200,-20,126,16,50,85,15,c
191,261,200,50,236,126,163,16,126,-20,310,163,273,236,310,200,191,156,121,c
191,261,163,85,89,126,89,16,89,16,163,52,126,163,163,126,-19,-19,-125,c
-19,-19,-57,-160,-94,-57,-94,-167,16,-57,89,16,52,52,89,16,-19,-90,-160,c
85,156,126,15,52,89,-20,52,163,200,236,163,126,200,200,236,15,85,-90,c
15,50,-94,-195,-131,-94,-131,-131,16,-20,16,-131,-20,-57,-20,16,-195,-125,-266,c
85,121,-57,-160,-94,-94,-131,-94,89,-20,200,16,52,89,163,163,15,15,-90,c
156,226,52,15,16,16,16,-20,126,163,126,52,52,89,52,163,-55,-19,-160,c
15,15,-57,-125,-131,-241,-131,-241,16,-20,16,16,-94,-57,-57,52,-19,-195,-195,c
226,297,200,121,52,-20,-20,-57,126,126,236,273,52,163,89,273,191,15,15,c
226,191,163,50,52,-20,52,-57,52,16,126,89,16,-20,-57,16,121,-90,-55,c
261,85,310,156,126,89,89,16,89,16,347,200,163,126,89,52,402,85,191,c
367,261,494,437,310,384,236,236,163,163,384,236,273,200,89,126,402,156,191,c
191,121,273,226,163,200,126,89,16,-94,200,89,200,52,-20,-131,367,-19,121,c
297,297,384,332,273,347,163,236,126,89,384,273,310,310,200,236,473,121,226,c
297,191,273,226,200,273,126,163,52,52,126,89,163,89,16,236,226,50,50,c
261,121,236,156,200,236,126,126,16,16,236,163,163,89,89,236,367,156,226,c
402,332,457,367,384,457,347,347,163,236,347,273,273,236,200,310,367,261,261,c
191,121,273,121,236,236,236,200,89,89,126,89,163,16,52,89,191,121,156,c
121,191,273,226,310,347,236,310,273,273,200,200,236,200,273,347,261,297,297,c
50,121,163,121,236,236,236,273,310,347,-20,16,126,52,126,236,-19,156,121,c
-19,-90,-20,-55,89,16,89,89,310,236,-20,16,89,52,200,200,15,121,191,c
191,191,200,156,236,126,200,200,420,457,163,236,163,236,310,384,85,191,191,c
50,85,126,-19,89,-94,89,-20,236,236,16,52,52,16,89,126,-19,-19,15,c
156,191,273,50,200,-20,89,52,236,273,273,273,200,200,310,273,226,156,191,c
297,261,347,191,273,126,200,126,163,273,236,236,163,126,200,126,191,121,85,c
191,50,236,50,163,16,126,-20,52,52,200,163,89,16,126,-94,297,50,156,c
332,297,384,297,310,273,236,200,200,200,310,310,200,236,273,52,332,226,297,c
226,226,200,121,126,163,163,89,52,-94,52,126,52,52,52,-204,121,50,121,c
261,261,200,156,163,200,163,126,52,-131,200,236,89,200,236,-57,297,226,332,c
402,367,347,261,310,347,347,273,126,52,200,236,163,200,200,89,226,297,297,c
261,121,236,85,200,163,273,126,16,-131,126,126,126,52,126,-94,226,191,226,c
367,332,384,332,347,384,310,310,52,16,310,347,236,310,310,126,261,402,261,c
191,261,200,261,163,347,200,200,-94,16,89,126,126,89,126,89,-19,226,15,c
85,191,52,156,126,310,126,163,-57,126,200,163,200,200,310,273,121,297,226,c
191,402,200,261,273,457,310,310,126,273,236,200,310,273,310,347,85,332,261,c
121,156,89,-19,126,163,200,126,52,52,89,16,236,52,163,126,50,121,156,c
297,191,273,121,273,273,236,273,236,273,310,200,310,273,384,347,261,297,297,c
226,226,273,121,163,200,200,236,236,310,89,52,163,52,200,200,121,121,85,c
121,191,163,85,52,52,52,126,163,236,126,126,126,52,200,236,261,121,156,c
226,402,273,297,126,236,126,310,200,347,126,236,126,200,236,347,191,226,156,c
15,191,52,50,-94,16,-20,52,52,52,-57,52,-20,-20,52,52,50,50,-19,c
85,332,163,191,16,126,-20,126,89,163,163,236,89,163,236,236,261,226,156,c
191,402,200,226,-20,200,52,200,52,310,89,163,52,16,89,236,121,156,85,c
85,226,89,121,-131,126,-20,200,52,347,89,163,16,16,89,236,191,261,226,c
261,437,236,437,52,420,163,531,163,568,200,347,89,273,236,420,226,508,297,c
85,226,52,297,-94,273,89,384,-57,273,-20,163,-20,89,52,200,50,297,85,c
156,261,126,332,16,310,52,384,16,310,200,310,89,236,236,347,226,367,191,c
261,437,200,367,126,347,200,457,163,494,163,310,126,200,163,273,121,332,85,c
156,261,52,191,52,200,89,273,126,273,89,236,89,126,126,126,191,261,85,c
332,437,273,437,273,420,200,457,163,384,310,457,236,384,347,347,297,402,156,c
191,261,163,332,126,310,126,273,-20,163,89,273,89,200,89,126,121,156,-19,c
156,226,200,367,126,310,52,236,16,126,236,384,126,310,163,200,297,226,121,c
261,367,347,543,273,420,200,347,200,347,236,420,200,310,126,273,297,261,85,c
156,191,273,367,200,236,126,163,163,163,163,310,163,126,89,89,332,156,85,c
297,437,494,613,384,384,236,310,273,347,420,531,310,347,273,273,437,402,191,c
191,367,347,437,236,236,163,200,236,310,236,273,200,126,52,126,156,226,15,c
85,191,236,226,200,89,89,89,310,273,273,236,236,200,200,273,226,261,85,c
226,332,384,332,273,236,236,200,384,494,273,310,273,310,236,420,156,261,15,c
50,121,126,85,52,-20,52,-94,163,273,52,89,89,52,89,163,50,15,-160,c
85,226,163,226,126,126,16,52,236,347,200,310,163,273,310,347,191,191,-19,c
50,156,126,191,89,126,89,52,236,310,16,163,89,126,200,200,85,50,-125,c
-19,15,52,85,52,52,16,-20,126,89,52,163,126,163,236,163,261,85,-19,c
121,226,273,332,236,273,126,200,126,236,163,273,236,310,273,347,261,261,15,c
-90,50,52,156,52,163,16,89,-57,89,-57,16,126,52,52,126,85,85,-125,c
50,191,163,261,200,310,89,273,52,200,200,200,273,273,236,310,297,261,121,c
156,261,236,332,273,347,200,310,89,126,163,163,273,200,126,236,226,156,50,c
85,15,126,121,126,126,89,89,-20,-94,163,89,236,89,89,126,261,85,85,c
261,261,273,332,310,347,200,273,52,89,310,273,310,273,200,310,297,297,156,c
226,156,126,156,200,200,200,126,-57,-94,126,52,236,52,16,52,191,121,15,c
297,226,273,226,347,236,236,126,52,-94,347,200,310,200,200,163,402,226,261,c
402,332,384,261,420,273,347,200,126,52,310,163,273,163,89,126,261,156,191,c
191,15,163,-19,200,52,163,52,16,-94,200,16,163,16,16,-57,156,85,191,c
297,156,310,191,347,273,310,310,236,126,384,200,310,273,200,200,261,332,402,c
261,85,200,50,273,163,347,200,163,52,163,-20,236,16,52,16,85,156,297,c
226,85,163,-19,236,52,273,163,200,52,236,89,236,126,163,126,226,156,402,c
297,261,236,85,273,163,310,273,273,200,163,126,200,200,200,200,121,121,332,c
50,15,-20,-160,16,-94,126,52,163,16,-94,-57,16,16,16,16,85,-125,226,c
156,85,89,50,89,52,126,200,273,236,52,89,16,200,163,310,261,50,332,c
156,15,16,85,52,-20,163,163,236,200,-94,-20,-94,52,16,200,85,-55,156,c
121,50,16,50,52,-57,89,52,200,16,52,89,-20,89,89,89,226,15,191,c
297,261,236,332,236,200,236,236,273,200,236,236,89,200,126,163,226,191,226,c
156,15,126,156,89,52,163,89,200,89,126,52,89,-57,-20,-20,191,85,156,c
297,156,347,332,310,236,310,236,310,236,420,273,273,200,273,200,437,332,367,c
402,297,384,402,384,273,420,273,236,163,347,200,310,89,163,89,261,261,226,c
332,121,273,297,310,163,273,163,126,-20,384,163,347,89,163,52,332,261,297,c
402,261,384,508,457,384,384,384,236,236,457,273,420,273,273,236,261,367,367,c
226,156,126,261,236,126,236,200,89,89,200,16,236,16,52,-20,85,156,156,c
261,226,200,367,310,200,236,273,163,163,384,200,310,236,236,163,297,297,332,c
297,261,273,402,347,273,273,310,236,310,310,163,273,200,163,126,121,226,191,c
121,50,89,121,163,52,126,89,163,200,236,52,200,52,126,52,85,121,226,c
261,261,236,261,310,200,200,310,347,494,384,236,273,236,310,310,156,226,332,c
191,85,126,50,163,52,126,163,273,273,163,16,163,16,89,16,15,50,156,c
226,15,163,50,163,89,89,200,273,89,310,126,200,236,236,89,191,156,332,c
261,85,236,156,200,273,200,310,310,200,200,126,200,236,200,163,50,121,226,c
15,-195,-20,-125,-20,16,16,52,126,126,52,-20,16,16,16,52,-55,-90,85,c
156,85,52,85,52,126,16,163,163,347,236,163,52,236,163,273,15,85,156,c
85,85,-57,50,-57,89,16,89,89,200,-20,-20,-94,52,-57,52,-160,-19,15,c
15,-19,-94,50,-20,89,52,89,89,126,52,126,-94,126,52,89,50,156,261,c
191,156,126,261,236,384,347,347,236,310,163,200,16,200,126,163,121,332,402,c
50,15,16,85,163,200,347,200,200,126,52,52,16,16,16,-57,121,226,402,c
261,226,200,297,310,384,457,384,310,163,273,236,163,236,200,200,261,473,613,c
261,191,163,261,310,384,494,384,273,163,163,126,126,89,52,126,85,402,473,c
121,121,200,191,310,310,420,347,236,126,273,163,200,163,126,89,226,437,578,c
226,367,457,437,531,531,568,531,347,273,420,347,347,347,236,236,297,508,613,c
121,121,310,191,384,310,420,310,126,52,236,126,236,126,126,89,191,191,402,c
261,121,420,226,384,347,310,384,163,200,420,273,310,384,384,347,332,261,437,c
297,85,420,226,273,347,236,384,200,310,200,163,200,273,273,273,121,85,156,c
121,-90,126,85,-20,126,-57,163,163,126,89,89,89,236,200,200,121,-55,85,c
